Name,URL
21st Century Wire,21stcenturywire.com
70news,70news.wordpress.com
100 Percent Fed Up,100percentfedup.com
ABC News (impostor),abcnews.com.co
Activist Post,activistpost.com
American News,americannews.com
Associated Media Coverage,associatedmediacoverage.com
Baltimore Gazette,baltimoregazette.com
Before It's News,beforeitsnews.com
Big American News,bigamericannews.com
Big P Zone,bigpzone.com
Bipartisan Report,bipartisanreport.com
BizPac Review,bizpacreview.com
Blue Nation Review,bluenationreview.com
Call The Cops,callthecops.net
Cap News,cap-news.com
Christ Wire,christwire.org
Chronicle.su,chronicle.su
Civic Tribune,civictribune.com
ClickHole,clickhole.com
Coast To Coast AM,coasttocoastam.com
Collective Evolution,collective-evolution.com
Conscious Life News,consciouslifenews.com
Conservative Outfitters,conservativeoutfitters.com
Countdown To Zero Time,countdowntozerotime.com
CounterPsyOps,counterpsyops.com
Cream BMP,creambmp.com
Daily Buzz Live,dailybuzzlive.com
Daily Currant,dailycurrant.com
D.C. Clothesline,dcclothesline.com
D.C. Gazette,dcgazette.com
Derf Magazine,derfmagazine.com
Disclose.tv,disclose.tv
Drudge Report (impostor),drudgereport.com.co
Duffle Blog,duffleblog.com
Duh Progressive,duhprogressive.com
Embols,embols.com
Empire Herald,empireherald.com
Empire News,empirenews.com
Empire News,empirenews.net
Ending The Fed,endingthefed.com
Enduring Vision,enduringvision.com
FPRN Radio,fprnradio.com
Geo Engineering Watch,geoengineeringwatch.org
Govt Slaves,govtslaves.info
Gulag Bound,gulagbound.com
Hang The Bankers,hangthebankers.com
Humans Are Free,humansarefree.com
Huzlers,huzlers.com
If You Only News,ifyouonlynews.com
Indecision Forever,indecisionforever.com
IntelliHub,intellihub.com
Jones Report,jonesreport.com
Lew Rockwell,lewrockwell.com
Liberal America,liberalamerica.org
LMR / Liberty Movement Radio,libertymovementradio.com
Liberty Talk,libertytalk.fm
Liberty Unyielding,libertyunyielding
Liberty Videos,libertyvideos.org
Media Mass,mediamass.net
Megyn Kelly,megynkelly.us
MS NBC (impostor),msnbc.com.co
MS NBC (impostor),msnbc.website
Naha Daily,nahadaily.com
National Report,nationalreport.net
Natural News,naturalnews.com
NC Scooper,ncscooper.com
New Century Times,newcenturytimes.com
News Hound,news-hound.com
NewsBiscuit,newsbiscuit.com
News Examiner,newsexaminer.net
Newslo,newslo.com
News Mutiny,newsmutiny.com
Newswatch 28,newswatch28.com
NewsWire 24,newswire-24.com
Borowitz Report,newyorker.com/humor/borowitz-report
No Dis Info,nodisinfo.com
Now8News,now8news.com
Now The End Begins,nowtheendbegins.com
Newswatch 33,opposingviews.com
Pak Alert Press,pakalertpress.com
Political Blind Spot,politicalblindspot.com
Political Ears,politicalears.com
Politicalo,politicalo.com
Prison Planet,prisonplanet.com
Prison Planet,prisonplanet.tv
Private Eye,private-eye.co.uk
Project Veritas,ProjectVeritas.com
React 365,react365.com
Real Farmacy,realfarmacy.com
Real News Right Now,realnewsrightnow.com
Red Flag News,redflagnews.com
Reductress,reductress.com
Rile News,rilenews.com
Satira Tribune,satiratribune.com
Sprot Spickle,sprotspickle.com
The Boston Tribune,thebostontribune.com
The Daily Sheeple,thedailysheeple.com
The News Nerd,thenewsnerd.com
The Onion,theonion.com
The Reporterz,thereporterz.com
The Run Down Live,therundownlive.com
The Stately Harold,thestatelyharold.com
The Us Patriot,theuspatriot.com
Truth Frequency Radio,truthfrequencyradio.com
Unconfirmed Sources,unconfirmedsources.com
USA Supreme,usasupreme.com
Veterans Today,veteranstoday.com
Waking Up Wisconsin,wakingupwisconsin.com
ConspiracyWire,wideawakeamerica.com
Winning Democrats,winningdemocrats.com
Wit Science,witscience.org
WorldNetDaily,wnd.com
World News Daily Report,worldnewsdailyreport.com
World Truth,worldtruth.tv
Big P Zone,youtube.com/bigpzone
Zero Hedge,zerohedge.com
News Punch,newspunch.com
There is News,thereisnews.com
8 Shit,8shit.net
Wittheshit,wittheshit.com
,thehardtimes.net
,fake.trendolizer.com